question,target_angles,scan_dt_s,duration_s,intervals_s
question_1,180,0.01,1.3328020494417743,"[[8.05644549043161, 9.389247539873384]]"
question_1,360,0.005,1.3328020494414758,"[[8.056445490431908, 9.389247539873384]]"
question_1,720,0.004,1.3328020494418773,"[[8.056445490431507, 9.389247539873384]]"
question_1,1440,0.002,1.3328020494418773,"[[8.056445490431507, 9.389247539873384]]"
question_1,2880,0.001,1.3328020494418773,"[[8.056445490431507, 9.389247539873384]]"
question_2,180,0.01,4.542879969527454,"[[2.49679869577498, 7.039678665302434]]"
question_2,360,0.005,4.542879969527454,"[[2.49679869577498, 7.039678665302434]]"
question_2,720,0.004,4.5428799695274416,"[[2.49679869577498, 7.0396786653024215]]"
question_2,1440,0.002,4.5428799695274416,"[[2.49679869577498, 7.0396786653024215]]"
question_2,2880,0.001,4.542879969527816,"[[2.49679869577498, 7.039678665302796]]"
